PRIMARY_PROGRAM_CODE,PROGRAM_CAMPUS_CODE,PROGRAM_CREDENTIAL_CODE,PROGRAM_CREDENTIAL_NAME,PROGRAM_LONG_NAME,SCHOOL_CODE,CLUSTER_LONG_NAME
2570,PRO,OCDP,Ontario College Diploma,Paralegal - Court and Tribunal Agent,BU,BUS-LEGAL AND ADMIN STUDIES
9153,HPC,OCDP,Ontario College Diploma,Esthetician,CH,SCHS-HEALTH AND WELLNESS STUDIES
2406,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Leadership and Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
1607,HPC,OCDP,Ontario College Diploma,Nutrition and Food Service Management,CH,SCHS-HEALTH AND WELLNESS STUDIES
2821,SUZ,OCDP,Ontario College Diploma,Business - International Business,BU,
4221,HPC,OCDP,Ontario College Diploma,Environmental Technician,ST,SETAS-APPL BIO & ENVIRN SCIENCE
2528,PRO,OCGC,Ontario College Graduate Cert,Project Management - Organizational Strategy,BU,BUS-BUSINESS & MANAGEMENT STUDIES
3425,PRO,OCAD,Ontario College Adv. Diploma,Computer Systems Technology - Networking,ST,SETAS-INFORM & COMMUNICATION TECH
2805,PRO,OCDP,Ontario College Diploma,Business - Marketing,BU,BUS-MARKETING&ENTREPRENEURSHIP
2409,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - International Business,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
3609,OLP,OCAD,Ontario College Adv. Diploma,Game - Programming,ST,SETAS-INFORM & COMMUNICATION TECH
3223,PRO,OCGC,Ontario College Graduate Cert,Mobile Applications Development,ST,SETAS-INFORM & COMMUNICATION TECH
1810,PRO,OCCT,Ontario College Certificate,Baking Skills,HT,SHTCA-FOOD AND TOURISM STUDIES
3462,OLP,OCAD,Ontario College Adv. Diploma,Software Engineering Technology - Artificial Intelligence,ST,SETAS-INFORM & COMMUNICATION TECH
3125,HPC,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
3404,PRO,OCDP,Ontario College Diploma,Computer Systems Technician - Networking,ST,SETAS-INFORM & COMMUNICATION TECH
6700,HPC,OCCT,Ontario College Certificate,General Arts and Science,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
1811,PRO,OCDP,Ontario College Diploma,Culinary Management,HT,SHTCA-FOOD AND TOURISM STUDIES
3408,PRO,OCDP,Ontario College Diploma,Software Engineering Technician,ST,SETAS-INFORM & COMMUNICATION TECH
2603,PRO,OCDP,Ontario College Diploma,Office Administration - Health Services,BU,BUS-LEGAL AND ADMIN STUDIES
1860,OLP,OCCT,Ontario College Certificate,Baking Skills,HT,SHTCA-FOOD AND TOURISM STUDIES
3407,PRO,OCAD,Ontario College Adv. Diploma,Biomedical Engineering Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
3608,OLP,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
8406,ASH,OCDP,Ontario College Diploma,Auto Body Repair Technician,TR,SOT - AUTOMOTIVE & MOTORCYCLE
8113,DAC,OCDP,Ontario College Diploma,Aviation Technician - Avionics Maintenance,TR,SOT-AVIATION
2809,PRO,OCDP,Ontario College Diploma,Business - International Business,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
3721,DAC,OCDP,Ontario College Diploma,Aerospace Manufacturing Engineering Technician,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
3422,PRO,OCAD,Ontario College Adv. Diploma,Software Engineering Technology - Artificial Intelligence,ST,SETAS-INFORM & COMMUNICATION TECH
1819,PRO,OCCT,Ontario College Certificate,Hospitality Skills,HT,SHTCA-HOSPITALITY MANAGEMENT
6424,CCC,OCGC,Ontario College Graduate Cert,Childrenâ€™s Media,CA,"CMAD-COMM, MEDIA & DESIGN"
6701,HPC,OCDP,Ontario College Diploma,Liberal Arts,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
3601,HPC,OCDP,Ontario College Diploma,Biotechnology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
2895,PRO,OCGC,Ontario College Graduate Cert,International Development,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
3607,OLP,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
3218,PRO,OCCT,Ontario College Certificate,Computer Repair and Maintenance,ST,SETAS-INFORM & COMMUNICATION TECH
1812,PRO,OCCT,Ontario College Certificate,Culinary Skills,HT,SHTCA-FOOD AND TOURISM STUDIES
2803,PRO,OCDP,Ontario College Diploma,Business,BU,BUS-BUSINESS & MANAGEMENT STUDIES
2890,PRO,OCGC,Ontario College Graduate Cert,Insurance Management,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
3435,PRO,OCAD,Ontario College Adv. Diploma,Computer Systems Technology - Networking,ST,SETAS-INFORM & COMMUNICATION TECH
3402,PRO,OCAD,Ontario College Adv. Diploma,Software Engineering Technology - Artificial Intelligence,ST,SETAS-INFORM & COMMUNICATION TECH
2841,PRO,OCGC,Ontario College Graduate Cert,Strategic Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
1833,PRO,OCGC,Ontario College Graduate Cert,Food Media,HT,SHTCA-FOOD AND TOURISM STUDIES
8234,ASH,OCDP,Ontario College Diploma,Motive Power - Truck and Coach Technician,TR,SOT- MOTIVE POWER
8214,ASH,OCDP,Ontario College Diploma,Motive Power - Truck and Coach Technician,TR,SOT- MOTIVE POWER
6409,CCC,OCCT,Ontario College Certificate,Art and Design Fundamentals,CA,CMAD-ARTS & DESIGN
3606,OLP,OCDP,Ontario College Diploma,Architectural Technician,ST,SETAS - SDRE
3469,OLP,OCAD,Ontario College Adv. Diploma,Software Engineering Technology,ST,SETAS-INFORM & COMMUNICATION TECH
9352,HPC,OCDP,Ontario College Diploma,Practical Nursing,CH,SCHS-PRACTICAL NURSING AND PSW
3101,HPC,OCDP,Ontario College Diploma,Architectural Technician,ST,SETAS - SDRE
2846,PRO,OCGC,Ontario College Graduate Cert,Marketing - Corporate Account Management,BU,BUS-MARKETING&ENTREPRENEURSHIP
131,PRO,ADEG,Degree,Honours Bachelor of Information Technology (Computer and Communication Networks),ST,SETAS-INFORM & COMMUNICATION TECH
1203,ASH,OCDP,Ontario College Diploma,Social Service Worker,CH,SCHS-COMMUNITY SERVICES
6459,OLP,OCCT,Ontario College Certificate,Art & Design Fundamentals,CA,CMAD-ARTS & DESIGN
1201,ASH,OCDP,Ontario College Diploma,Early Childhood Education,CH,SCHS-CHILD STUDIES
6416,CCC,OCCT,Ontario College Certificate,Communications and Media Fundamentals,CA,"CMAD-COMM, MEDIA & DESIGN"
2880,PRO,OCGC,Ontario College Graduate Cert,Global Business Management,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
2859,PRO,OCGC,Ontario College Graduate Cert,International Business Management,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
2701,PRO,OCCT,Ontario College Certificate,Office Administration - General,BU,BUS-LEGAL AND ADMIN STUDIES
2405,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Accounting,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
3822,PRO,OCDP,Ontario College Diploma,Electrical Engineering Technician,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
6616,ASH,OCCT,Ontario College Certificate,General Arts and Science - English for Academic Purposes,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
5110,HPC,OCAD,Ontario College Adv. Diploma,Massage Therapy,CH,SCHS-HEALTH AND WELLNESS STUDIES
1241,PRO,OCDP,Ontario College Diploma,Early Childhood Education,CH,SCHS-RESTRICTED FUNDS
1834,PRO,OCGC,Ontario College Graduate Cert,Food Tourism,HT,SHTCA-FOOD AND TOURISM STUDIES
3105,HPC,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
3130,HPC,OCGC,Ontario College Graduate Cert,Construction Project Management,ST,SETAS - SDRE
2006,OLP,OCDP,Ontario College Diploma,Office Administration - Executive,BU,BUS-LEGAL AND ADMIN STUDIES
9350,HPC,OCDP,Ontario College Diploma,Practical Nursing,CH,SCHS-PRACTICAL NURSING AND PSW
6431,CCC,OCGC,Ontario College Graduate Cert,Arts Management,CA,CMAD-ARTS & DESIGN
2860,PRO,OCGC,Ontario College Graduate Cert,Human Resources Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
6421,CCC,OCDP,Ontario College Diploma,Fine Art Studio,CA,CMAD-ARTS & DESIGN
3409,PRO,OCAD,Ontario College Adv. Diploma,Software Engineering Technology,ST,SETAS-INFORM & COMMUNICATION TECH
2861,PRO,OCGC,Ontario College Graduate Cert,Human Resources Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
2709,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Human Resources,BU,BUS-BUSINESS & MANAGEMENT STUDIES
6450,PAC,OCAD,Ontario College Adv. Diploma,Music Industry Arts and Performance,CA,CMAD-ARTS & DESIGN
2483,PRO,OCDP,Ontario College Diploma,Financial Services,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
1873,OLP,OCDP,Ontario College Diploma,Baking and Pastry Arts Management,HT,SHTCA-FOOD AND TOURISM STUDIES
2506,PRO,OCDP,Ontario College Diploma,Business - Supply Chain and Operations,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
2381,OLP,OCDP,Ontario College Diploma,Business - Accounting,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
1620,HPC,OCCT,Ontario College Certificate,Food Service Worker,CH,SCHS-HEALTH AND WELLNESS STUDIES
3825,PRO,OCDP,Ontario College Diploma,"Heating, Refrigeration and Air Conditioning Technician",ST,SETAS - SDRE
9260,HPC,BSCN,Bachelor of Science Nursing,Collaborative Nursing,CH,SCHS-REGISTERED  NURSING PROGRAMS
4105,PRO,OCDP,Ontario College Diploma,Electromechanical Engineering Technician,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
3747,PRO,OCAD,Ontario College Adv. Diploma,Mechanical Engineering Technology - Industrial,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
3428,PRO,OCDP,Ontario College Diploma,Software Engineering Technician,ST,SETAS-INFORM & COMMUNICATION TECH
8405,ASH,OCCT,Ontario College Certificate,Auto Body Repair Techniques,TR,SOT - AUTOMOTIVE & MOTORCYCLE
1832,CCC,OCGC,Ontario College Graduate Cert,Museum and Cultural Management,CA,"CMAD-COMM, MEDIA & DESIGN"
6422,CCC,OCDP,Ontario College Diploma,Game - Art,CA,CMAD-ARTS & DESIGN
3776,PRO,OCAD,Ontario College Adv. Diploma,Energy Systems Engineering Technology,ST,SETAS - SDRE
2804,PRO,OCDP,Ontario College Diploma,Law Clerk,BU,BUS-LEGAL AND ADMIN STUDIES
6425,CCC,OCGC,Ontario College Graduate Cert,Advertising - Creative and Digital Strategy,CA,"CMAD-COMM, MEDIA & DESIGN"
8226,ASH,OCDP,Ontario College Diploma,Motive Power Technician,TR,SOT - AUTOMOTIVE & MOTORCYCLE
6020,OLP,OCAD,Ontario College Adv. Diploma,Graphic Design,CA,CMAD-ARTS & DESIGN
2862,PRO,OCGC,Ontario College Graduate Cert,Supply Chain Management - Logistics,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
3129,PRO,OCAD,Ontario College Adv. Diploma,Game - Programming,ST,SETAS-INFORM & COMMUNICATION TECH
3424,PRO,OCDP,Ontario College Diploma,Computer Systems Technician - Networking,ST,SETAS-INFORM & COMMUNICATION TECH
3620,HPC,OCAD,Ontario College Adv. Diploma,Food Science Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
1213,HPC,OCGC,Ontario College Graduate Cert,Workplace Wellness and Health Promotion,CH,SCHS-HEALTH AND WELLNESS STUDIES
9158,HPC,OCDP,Ontario College Diploma,Healthcare Environmental Services Management,CH,SCHS-HEALTH AND WELLNESS STUDIES
6417,CCC,OCGC,Ontario College Graduate Cert,Public Relations - Corporate Communications,CA,"CMAD-COMM, MEDIA & DESIGN"
8215,ASH,OCDP,Ontario College Diploma,Motive Power - Heavy Duty Equipment Technician,TR,SOT- MOTIVE POWER
3631,HPC,OCAD,Ontario College Adv. Diploma,Food Science Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
6432,CCC,OCAD,Ontario College Adv. Diploma,Game - Development,CA,CMAD-ARTS & DESIGN
3621,HPC,OCDP,Ontario College Diploma,Biotechnology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
1830,PRO,OCGC,Ontario College Graduate Cert,"Hotel, Resort and Restaurant Management",HT,SHTCA-HOSPITALITY MANAGEMENT
6429,CCC,OCGC,Ontario College Graduate Cert,Advanced Television and Film - Script to Screen,CA,"CMAD-COMM, MEDIA & DESIGN"
6401,CCC,OCAD,Ontario College Adv. Diploma,"Broadcasting - Radio, Television, Film and Digital Media",CA,"CMAD-COMM, MEDIA & DESIGN"
3517,CCC,OCAD,Ontario College Adv. Diploma,Product Design and Development,CA,CMAD-ARTS & DESIGN
1230,ASH,OCDP,Ontario College Diploma,Community Development Work,CH,SCHS-COMMUNITY SERVICES
3405,PRO,OCAD,Ontario College Adv. Diploma,Computer Systems Technology - Networking,ST,SETAS-INFORM & COMMUNICATION TECH
8208,ASH,OCCT,Ontario College Certificate,Motive Power Fundamentals,TR,SOT- MOTIVE POWER
3109,PRO,OCAD,Ontario College Adv. Diploma,Game - Programming,ST,SETAS-INFORM & COMMUNICATION TECH
3224,PRO,OCGC,Ontario College Graduate Cert,Cybersecurity,ST,SETAS-INFORM & COMMUNICATION TECH
3528,PRO,OCAD,Ontario College Adv. Diploma,Health Informatics Technology,ST,SETAS-INFORM & COMMUNICATION TECH
9253,HPC,OCGC,Ontario College Graduate Cert,Bridging to University Nursing,CH,SCHS-REGISTERED  NURSING PROGRAMS
3704,PRO,OCAD,Ontario College Adv. Diploma,Mechanical Engineering Technology - Industrial,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
1206,PRO,OCDP,Ontario College Diploma,Community and Justice Services,CH,SCHS-COMMUNITY SERVICES
2906,PRO,OCCT,Ontario College Certificate,Bookkeeping,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
8202,ASH,OCDP,Ontario College Diploma,Motive Power Technician,TR,SOT- MOTIVE POWER
1824,PRO,OCDP,Ontario College Diploma,Tourism,HT,SHTCA-FOOD AND TOURISM STUDIES
6406,CCC,OCDP,Ontario College Diploma,Photography,CA,CMAD-ARTS & DESIGN
6423,CCC,OCDP,Ontario College Diploma,Animation - 3D,CA,CMAD-ARTS & DESIGN
3205,PRO,OCDP,Ontario College Diploma,Electronics Engineering Technician,ST,SETAS - SDRE
4125,PRO,OCDP,Ontario College Diploma,Electromechanical Engineering Technician,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
3725,PRO,OCDP,Ontario College Diploma,Mechanical Engineering Technician - Design,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
1807,PRO,OCDP,Ontario College Diploma,Hospitality - Hotel Operations Management,HT,SHTCA-HOSPITALITY MANAGEMENT
1207,ASH,OCDP,Ontario College Diploma,Developmental Services Worker,CH,SCHS-COMMUNITY SERVICES
6402,CCC,OCAD,Ontario College Adv. Diploma,Journalism,CA,"CMAD-COMM, MEDIA & DESIGN"
9151,HPC,OCDP,Ontario College Diploma,Occupational Therapist Assistant and Physiotherapist Assistant,CH,SCHS-HEALTH AND WELLNESS STUDIES
6444,CCC,OCGC,Ontario College Graduate Cert,Contemporary Journalism,CA,"CMAD-COMM, MEDIA & DESIGN"
9101,HPC,OCDP,Ontario College Diploma,Paramedic,CH,SCHS-EMERG MGT AND PUBLIC SAFETY
3775,PRO,OCDP,Ontario College Diploma,Energy Systems Engineering Technician,ST,SETAS - SDRE
6403,CCC,OCGC,Ontario College Graduate Cert,Advertising Media Management,CA,"CMAD-COMM, MEDIA & DESIGN"
8403,ASH,OCCT,Ontario College Certificate,Motorcycle and Powersports Products Repair Techniques,TR,SOT - AUTOMOTIVE & MOTORCYCLE
2606,PRO,OCDP,Ontario College Diploma,Office Administration - Executive,BU,BUS-LEGAL AND ADMIN STUDIES
2850,PRO,OCGC,Ontario College Graduate Cert,Marketing - Digital Engagement Strategy,BU,BUS-MARKETING&ENTREPRENEURSHIP
4126,PRO,OCAD,Ontario College Adv. Diploma,Electromechanical Engineering Technology,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
3722,DAC,OCAD,Ontario College Adv. Diploma,Aerospace Manufacturing Engineering Technology,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
2403,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Marketing,BU,BUS-MARKETING&ENTREPRENEURSHIP
3755,PRO,OCDP,Ontario College Diploma,Energy Systems Engineering Technician,ST,SETAS - SDRE
2308,OLP,OCDP,Ontario College Diploma,Business,BU,BUS-BUSINESS & MANAGEMENT STUDIES
3833,PRO,OCAD,Ontario College Adv. Diploma,Electrical Engineering Technology,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
6400,PAC,OCCT,Ontario College Certificate,Performing Arts Fundamentals,CA,CMAD-ARTS & DESIGN
8120,DAC,OCCT,Ontario College Certificate,Airframe Assembly,TR,SOT-AIRFRAME ASSEMBLY
901,HPC,OCDP,Ontario College Diploma,Paramedic,CH,SCHS-EMERG MGT AND PUBLIC SAFETY
2460,PRO,OCDP,Ontario College Diploma,Fashion Business and Management,BU,BUS-MARKETING&ENTREPRENEURSHIP
2845,PRO,OCGC,Ontario College Graduate Cert,Marketing - Research and Analytics,BU,BUS-MARKETING&ENTREPRENEURSHIP
1881,PRO,OCDP,Ontario College Diploma,Culinary Management,HT,SHTCA-FOOD AND TOURISM STUDIES
2493,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Finance,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
6470,PAC,OCAD,Ontario College Adv. Diploma,Theatre Arts and Performance,CA,CMAD-ARTS & DESIGN
3206,PRO,OCAD,Ontario College Adv. Diploma,Electronics Engineering Technology,ST,SETAS - SDRE
1835,OLP,OCGC,Ontario College Graduate Cert,Event Management,HT,SHTCA-HOSPITALITY MANAGEMENT
2305,OLP,OCDP,Ontario College Diploma,Business - Marketing,BU,BUS-MARKETING&ENTREPRENEURSHIP
2844,PRO,OCGC,Ontario College Graduate Cert,Strategic Management - Accounting Specialization,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
3222,PRO,OCAD,Ontario College Adv. Diploma,Electronics Engineering Technology,ST,SETAS - SDRE
3701,PRO,OCDP,Ontario College Diploma,Mechanical Engineering Technician - Design,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
6404,CCC,OCAD,Ontario College Adv. Diploma,Advertising and Marketing Communications Management,CA,"CMAD-COMM, MEDIA & DESIGN"
2864,PRO,OCGC,Ontario College Graduate Cert,Supply Chain Management - Logistics,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
6435,CCC,OCDP,Ontario College Diploma,Digital Visual Effects,CA,CMAD-ARTS & DESIGN
2849,PRO,OCGC,Ontario College Graduate Cert,Marketing - Digital Engagement Strategy,BU,BUS-MARKETING&ENTREPRENEURSHIP
4106,PRO,OCAD,Ontario College Adv. Diploma,Electromechanical Engineering Technology,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
2122,PRO,OCCT,Ontario College Certificate,Business Foundations,BU,BUS-MARKETING&ENTREPRENEURSHIP
3427,PRO,OCAD,Ontario College Adv. Diploma,Biomedical Engineering Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
1861,OLP,OCDP,Ontario College Diploma,Culinary Management,HT,SHTCA-FOOD AND TOURISM STUDIES
6430,CCC,OCGC,Ontario College Graduate Cert,Television and Film - Business,CA,"CMAD-COMM, MEDIA & DESIGN"
6705,HPC,OCDP,Ontario College Diploma,Liberal Arts,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
2360,OLP,OCGC,Ontario College Graduate Cert,Human Resources Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
8312,DAC,OCAD,Ontario College Adv. Diploma,Aviation Technology - Aircraft Maintenance and Management,TR,SOT-AVIATION
2868,PRO,OCGC,Ontario College Graduate Cert,Business Analytics and Insights,BU,BUS-MARKETING&ENTREPRENEURSHIP
2507,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Supply Chain and Operations Management,BU,BUS-INTERNATIONAL BUSINESS & LOGIST
6707,HPC,OCDP,Ontario College Diploma,Liberal Arts,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
1883,PRO,OCDP,Ontario College Diploma,Baking and Pastry Arts Management,HT,SHTCA-FOOD AND TOURISM STUDIES
8232,ASH,OCDP,Ontario College Diploma,Motive Power Technician,TR,SOT- MOTIVE POWER
1862,OLP,OCCT,Ontario College Certificate,Culinary Skills,HT,SHTCA-FOOD AND TOURISM STUDIES
3602,HPC,OCAD,Ontario College Adv. Diploma,Biotechnology Advanced,ST,SETAS-APPL BIO & ENVIRN SCIENCE
9310,HPC,OCCT,Ontario College Certificate,Health Studies and Communication Skills,CH,SCHS-PRACTICAL NURSING AND PSW
4202,HPC,OCAD,Ontario College Adv. Diploma,Environmental Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
3633,HPC,OCAD,Ontario College Adv. Diploma,Food Science Technology,ST,SETAS-APPL BIO & ENVIRN SCIENCE
3229,PRO,OCGC,Ontario College Graduate Cert,Internet of Things - System Architecture and Integration,ST,SETAS-INFORM & COMMUNICATION TECH
8210,ASH,OCDP,Ontario College Diploma,Automotive Parts and Service Operations,TR,SOT - AUTOMOTIVE & MOTORCYCLE
2002,OLP,OCDP,Ontario College Diploma,Office Administration - Legal,BU,BUS-LEGAL AND ADMIN STUDIES
1887,PRO,OCDP,Ontario College Diploma,Hospitality - Hotel Operations Management,HT,SHTCA-HOSPITALITY MANAGEMENT
3135,HPC,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
3429,PRO,OCAD,Ontario College Adv. Diploma,Software Engineering Technology,ST,SETAS-INFORM & COMMUNICATION TECH
1232,PRO,OCCT,Ontario College Certificate,Community Services and Child Studies Foundations,CH,SCHS-COMMUNITY SERVICES
2602,PRO,OCDP,Ontario College Diploma,Office Administration - Legal,BU,BUS-LEGAL AND ADMIN STUDIES
1805,PRO,OCAD,Ontario College Adv. Diploma,Hospitality and Tourism Administration,HT,SHTCA-FOOD AND TOURISM STUDIES
2816,PRO,OCDP,Ontario College Diploma,Business - Human Resources,BU,BUS-BUSINESS & MANAGEMENT STUDIES
6443,CCC,OCGC,Ontario College Graduate Cert,Contemporary Journalism,CA,"CMAD-COMM, MEDIA & DESIGN"
3703,PRO,OCAD,Ontario College Adv. Diploma,Mechanical Engineering Technology - Design,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
8313,DAC,OCAD,Ontario College Adv. Diploma,Aviation Technology - Avionics Maintenance and Management,TR,SOT-AVIATION
6436,CCC,OCGC,Ontario College Graduate Cert,Lifestyle Media,CA,"CMAD-COMM, MEDIA & DESIGN"
602,CCC,OCCT,Ontario College Certificate,New Media Design,CA,CMAD-ARTS & DESIGN
3628,OLP,OCAD,Ontario College Adv. Diploma,Architectural Technology,ST,SETAS - SDRE
1838,PRO,OCDP,Ontario College Diploma,Event Planning,HT,SHTCA-HOSPITALITY MANAGEMENT
3472,OLP,OCAD,Ontario College Adv. Diploma,Software Engineering Technology - Artificial Intelligence,ST,SETAS-INFORM & COMMUNICATION TECH
3452,OLP,OCAD,Ontario College Adv. Diploma,Software Engineering Technology - Artificial Intelligence,ST,SETAS-INFORM & COMMUNICATION TECH
